Frame,Opponent x,Opponent y,AI x,AI y,Opponent Facing,AI Facing,Opponent Action,AI Action,Opponent Action Frame,AI Action Frame,Opponent Jumps Left,AI Jumps Left,Opponent Stock,AI Stock,Opponent Percent,AI Percent,Buttons Pressed,Notes,Frame Process Time
-67,42.0,28.583965,-42.0,26.959364,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-66,42.0,28.539043,-42.0,26.914442,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-65,42.0,28.494123,-42.0,26.869522,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-64,42.0,28.449203,-42.0,26.824602,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-63,42.0,28.404284,-42.0,26.779682,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-62,42.0,28.359364,-42.0,26.734762,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-61,42.0,28.314442,-42.0,26.68984,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-60,42.0,28.269522,-42.0,26.64492,False,True,Action.ENTRY_END,Action.ENTRY_END,-1,-1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-59,42.0,28.224602,-42.0,26.41492,False,True,Action.ENTRY_END,Action.FALLING,-1,1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-58,42.0,28.179682,-42.0,25.954922,False,True,Action.ENTRY_END,Action.FALLING,-1,2,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-57,42.0,28.134762,-42.0,25.264921,False,True,Action.ENTRY_END,Action.FALLING,-1,3,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-56,42.0,28.08984,-42.0,24.344921,False,True,Action.ENTRY_END,Action.FALLING,-1,4,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-55,42.0,28.04492,-42.0,23.194921,False,True,Action.ENTRY_END,Action.FALLING,-1,5,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-54,42.0,27.81492,-42.0,21.814922,False,True,Action.FALLING,Action.FALLING,1,6,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-53,42.0,27.354921,-42.0,20.204922,False,True,Action.FALLING,Action.FALLING,2,7,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-52,42.0,26.66492,-42.0,23.4501,False,True,Action.FALLING,Action.LANDING,3,1,1,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-51,42.0,25.74492,-42.0,23.450098,False,True,Action.FALLING,Action.LANDING,4,2,1,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-50,42.0,24.594921,-42.0,23.450098,False,True,Action.FALLING,Action.LANDING,5,3,1,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-49,42.0,23.214922,-42.0,23.450098,False,True,Action.FALLING,Action.LANDING,6,4,1,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-48,42.0,21.604921,-42.0,23.450098,False,True,Action.FALLING,Action.LANDING,7,5,1,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-47,42.0,19.764921,-42.0,23.450098,False,True,Action.FALLING,Action.LANDING,8,6,1,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-46,42.0,23.4501,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,1,7,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-45,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,2,8,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-44,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,3,9,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-43,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,4,10,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-42,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,5,11,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-41,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,6,12,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-40,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,7,13,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-39,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,8,14,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-38,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,9,15,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-37,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,10,16,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-36,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,11,17,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-35,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,12,18,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-34,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,13,19,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-33,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,14,20,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-32,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,15,21,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-31,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,16,22,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-30,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,17,23,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-29,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,18,24,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-28,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,19,25,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-27,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,20,26,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-26,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,21,27,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-25,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,22,28,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-24,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,23,29,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-23,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.LANDING,24,30,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
